,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3571,efpss-inp-outp,../inputs/case2737sop.graphml,2737,3266,655,4,5735,4948,1,690.0,690,0.0,Optimal,3691,3258944,15,8711,57
3572,efpss-outp-init,../inputs/case89pegase.graphml,89,206,43,3,509,385,1,17.0,17,0.0,Optimal,1,22968,5,164,0
3573,efpss-outp,../inputs/case2736sp.graphml,2736,3265,645,2,7847,4213,0,776.0,776,0.0,Optimal,2580,14155452,37,23975,99
3574,efpss-outp-init,../inputs/case1888rte.graphml,1888,2308,681,14,4035,6621,3,375.0,375,0.0,Optimal,1,67288,2,1056,0
3575,efpss-inp,../inputs/case1888rte.graphml,1888,2308,681,7,4580,3231,0,377.0,377,0.0,Optimal,12965,4567001,25,14362,777
3576,efpss-inp-outp,../inputs/case6515rte.graphml,6515,8104,2344,1,28016,17660,4,2973.0,2973,0.0,Optimal,1583,7413292,22,72177,238
3577,efpss-inp,../inputs/case3012wp.graphml,3012,3566,726,9,5102,4494,3,755.0,755,0.0,Optimal,2005,1802351,36,26731,863
3578,efpss-inp,../inputs/case145.graphml,145,422,71,0,1295,404,2,91.0,91,0.0,Optimal,4941191,246491913,139,33934,1019
3579,efpss-outp-init,../inputs/case_iceland118.graphml,189,203,110,3,598,765,1,44.0,44,0.0,Optimal,1,20198,2,135,0
3580,efpss-outp-init,../inputs/case_Western.graphml,10024,12241,4106,4,28189,38944,4,1929.0,1932,0.0015527950310559005,Timeout,142945,900399863,32,83751,13
3581,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,16,18651,17039,0,2010.0,2010,0.0,Optimal,2141,7506207,24,34632,146
3582,efpss-inp-outp,../inputs/case_GB2224.graphml,2224,2804,1367,5,7530,5780,3,338.0,338,0.0,Optimal,1531,3005604,30,20568,269
3583,efpss-inp-outp,../inputs/case2736sp.graphml,2736,3265,645,9,4640,4742,2,682.0,682,0.0,Optimal,1,125927,8,3119,26
3584,efpss-outp-init,../inputs/case2746wop.graphml,2746,3300,709,4,5912,6617,3,683.0,683,0.0,Optimal,939,1478603,11,5330,0
3585,efpss-outp,../inputs/case1951rte.graphml,1951,2375,651,7,4691,2665,1,401.0,401,0.0,Optimal,1,204636,17,5781,22
3586,efpss-outp,../inputs/case1951rte.graphml,1951,2375,651,5,5330,2764,1,417.0,417,0.0,Optimal,1355,1176946,18,7897,42
3587,efpss-inp-outp,../inputs/case3375wp.graphml,3374,4068,889,9,6078,6065,0,816.0,816,0.0,Optimal,263,690851,13,7567,42
3588,efpss-outp-init,../inputs/case_Western.graphml,10024,12241,4106,13,23753,38189,2,1825.0,1825,0.0,Optimal,1986,19452803,17,40921,8
3589,efpss-outp,../inputs/case13659pegase.graphml,13659,18625,4024,38,26244,17685,0,2721.0,2721,0.0,Optimal,1,1313695,15,35059,101
3590,efpss-outp-init,../inputs/case145.graphml,145,422,71,5,1073,1207,1,20.0,20,0.0,Optimal,2174,443742,16,1353,19
3591,efpss-outp,../inputs/case145.graphml,145,422,71,15,614,225,3,18.0,18,0.0,Optimal,1,43899,11,587,24
